lieu,variapres3h,Direcvent10min,Vitessevent10mn,Temperature,Humidite,Pressionstation,Variationpressionen24h,TemperatureMinSol12hrs,RafalesPeriode,NumAcc,choc,voie,grav,sexe,trajet,annNais,mois
MONTPELLIER,170,310,7.3,292.75,52,102030,180,292.15,12.3,201700006540,1,0,4,1,9,1939,8
MONTPELLIER,50,330,6.7,294.95,40,101900,60,289.75,12.8,201700006540,1,0,4,1,9,1939,8
MONTPELLIER,110,290,10.0,291.35,52,101850,-40,289.75,14.2,201700006540,1,0,4,1,9,1939,8
MONTPELLIER,-50,300,10.4,295.45,43,101860,190,289.75,15.3,201700006540,1,0,4,1,9,1939,8
MONTPELLIER,-140,280,8.2,290.95,61,101740,-80,290.45,11.8,201700006540,1,0,4,1,9,1939,8
MONTPELLIER,0,310,8.3,295.75,39,101860,140,291.25,14.1,201700006540,1,0,1,1,3,1994,8
MONTPELLIER,10,300,8.7,295.05,43,101910,160,289.75,16.7,201700006540,1,0,1,1,3,1994,8
MONTPELLIER,30,270,5.9,291.35,60,101880,40,291.45,12.6,201700006540,1,0,1,1,3,1994,8
MONTPELLIER,170,310,7.3,292.75,52,102030,180,292.15,12.3,201700006540,1,0,1,1,3,1994,8
MONTPELLIER,50,330,6.7,294.95,40,101900,60,289.75,12.8,201700006540,1,0,1,1,3,1994,8
MONTPELLIER,110,290,10.0,291.35,52,101850,-40,289.75,14.2,201700006540,1,0,1,1,3,1994,8
MONTPELLIER,-50,300,10.4,295.45,43,101860,190,289.75,15.3,201700006540,1,0,1,1,3,1994,8
MONTPELLIER,-140,280,8.2,290.95,61,101740,-80,290.45,11.8,201700006540,1,0,1,1,3,1994,8
MONTPELLIER,60,120,2.8,294.75,96,101590,-150,294.45,4.2,201700006541,1,0,4,2,5,1948,8
MONTPELLIER,-110,160,4.2,299.55,65,101580,-190,294.85,7.0,201700006541,1,0,4,2,5,1948,8
MONTPELLIER,100,150,2.8,295.75,88,101690,-120,294.45,5.9,201700006541,1,0,4,2,5,1948,8
MONTPELLIER,70,130,4.5,295.55,88,101580,-40,295.85,6.6,201700006541,1,0,4,2,5,1948,8
MONTPELLIER,40,200,3.0,296.95,81,101510,-80,295.25,6.5,201700006541,1,0,4,2,5,1948,8
MONTPELLIER,-10,310,0.9,294.55,92,101610,-110,294.45,2.8,201700006541,1,0,4,2,5,1948,8
MONTPELLIER,-110,200,4.5,299.65,63,101470,-190,295.05,7.8,201700006541,1,0,4,2,5,1948,8
MONTPELLIER,30,220,2.2,294.65,91,101620,-120,295.15,3.0,201700006542,7,0,4,1,9,1977,8
MONTPELLIER,-20,0,0.0,291.45,59,101700,-240,291.05,2.2,201700006542,7,0,4,1,9,1977,8
MONTPELLIER,-110,160,3.5,297.85,65,101660,0,290.55,5.6,201700006542,7,0,4,1,9,1977,8
MONTPELLIER,-20,320,1.5,292.35,56,101720,-280,292.15,1.7,201700006542,7,0,4,1,9,1977,8
MONTPELLIER,-70,190,2.8,295.75,84,101590,-60,293.15,4.9,201700006542,7,0,4,1,9,1977,8
MONTPELLIER,40,350,2.6,292.85,58,101740,-250,290.55,4.9,201700006542,7,0,4,1,9,1977,8
MONTPELLIER,70,80,4.2,299.55,40,101810,-160,290.55,6.5,201700006542,7,0,4,1,9,1977,8
MONTPELLIER,30,220,2.2,294.65,91,101620,-120,295.15,3.0,201700006542,7,0,1,1,5,1989,8
MONTPELLIER,-20,0,0.0,291.45,59,101700,-240,291.05,2.2,201700006542,7,0,1,1,5,1989,8
MONTPELLIER,-110,160,3.5,297.85,65,101660,0,290.55,5.6,201700006542,7,0,1,1,5,1989,8
MONTPELLIER,-20,320,1.5,292.35,56,101720,-280,292.15,1.7,201700006542,7,0,1,1,5,1989,8
MONTPELLIER,-70,190,2.8,295.75,84,101590,-60,293.15,4.9,201700006542,7,0,1,1,5,1989,8
MONTPELLIER,40,350,2.6,292.85,58,101740,-250,290.55,4.9,201700006542,7,0,1,1,5,1989,8
MONTPELLIER,70,80,4.2,299.55,40,101810,-160,290.55,6.5,201700006542,7,0,1,1,5,1989,8
MONTPELLIER,30,220,2.2,294.65,91,101620,-120,295.15,3.0,201700006542,7,0,1,1,9,1991,8
MONTPELLIER,-20,0,0.0,291.45,59,101700,-240,291.05,2.2,201700006542,7,0,1,1,9,1991,8
MONTPELLIER,-110,160,3.5,297.85,65,101660,0,290.55,5.6,201700006542,7,0,1,1,9,1991,8
MONTPELLIER,-20,320,1.5,292.35,56,101720,-280,292.15,1.7,201700006542,7,0,1,1,9,1991,8
MONTPELLIER,-70,190,2.8,295.75,84,101590,-60,293.15,4.9,201700006542,7,0,1,1,9,1991,8
MONTPELLIER,40,350,2.6,292.85,58,101740,-250,290.55,4.9,201700006542,7,0,1,1,9,1991,8
MONTPELLIER,70,80,4.2,299.55,40,101810,-160,290.55,6.5,201700006542,7,0,1,1,9,1991,8
MONTPELLIER,30,220,2.2,294.65,91,101620,-120,295.15,3.0,201700006542,7,0,4,1,5,1975,8
MONTPELLIER,-20,0,0.0,291.45,59,101700,-240,291.05,2.2,201700006542,7,0,4,1,5,1975,8
MONTPELLIER,-110,160,3.5,297.85,65,101660,0,290.55,5.6,201700006542,7,0,4,1,5,1975,8
MONTPELLIER,-20,320,1.5,292.35,56,101720,-280,292.15,1.7,201700006542,7,0,4,1,5,1975,8
MONTPELLIER,-70,190,2.8,295.75,84,101590,-60,293.15,4.9,201700006542,7,0,4,1,5,1975,8
MONTPELLIER,40,350,2.6,292.85,58,101740,-250,290.55,4.9,201700006542,7,0,4,1,5,1975,8
MONTPELLIER,70,80,4.2,299.55,40,101810,-160,290.55,6.5,201700006542,7,0,4,1,5,1975,8
MONTPELLIER,30,220,2.2,294.65,91,101620,-120,295.15,3.0,201700006542,7,0,4,1,5,1984,8
MONTPELLIER,-20,0,0.0,291.45,59,101700,-240,291.05,2.2,201700006542,7,0,4,1,5,1984,8
MONTPELLIER,-110,160,3.5,297.85,65,101660,0,290.55,5.6,201700006542,7,0,4,1,5,1984,8
MONTPELLIER,-20,320,1.5,292.35,56,101720,-280,292.15,1.7,201700006542,7,0,4,1,5,1984,8
MONTPELLIER,-70,190,2.8,295.75,84,101590,-60,293.15,4.9,201700006542,7,0,4,1,5,1984,8
MONTPELLIER,40,350,2.6,292.85,58,101740,-250,290.55,4.9,201700006542,7,0,4,1,5,1984,8
MONTPELLIER,70,80,4.2,299.55,40,101810,-160,290.55,6.5,201700006542,7,0,4,1,5,1984,8
MONTPELLIER,30,220,2.2,294.65,91,101620,-120,295.15,3.0,201700006542,7,0,1,1,0,1985,8
MONTPELLIER,-20,0,0.0,291.45,59,101700,-240,291.05,2.2,201700006542,7,0,1,1,0,1985,8
MONTPELLIER,-110,160,3.5,297.85,65,101660,0,290.55,5.6,201700006542,7,0,1,1,0,1985,8
MONTPELLIER,-20,320,1.5,292.35,56,101720,-280,292.15,1.7,201700006542,7,0,1,1,0,1985,8
MONTPELLIER,-70,190,2.8,295.75,84,101590,-60,293.15,4.9,201700006542,7,0,1,1,0,1985,8
MONTPELLIER,40,350,2.6,292.85,58,101740,-250,290.55,4.9,201700006542,7,0,1,1,0,1985,8
MONTPELLIER,70,80,4.2,299.55,40,101810,-160,290.55,6.5,201700006542,1,0,4,1,5,1975,8
MONTPELLIER,30,220,2.2,294.65,91,101620,-120,295.15,3.0,201700006542,1,0,4,1,5,1984,8
MONTPELLIER,-20,0,0.0,291.45,59,101700,-240,291.05,2.2,201700006542,1,0,4,1,5,1984,8
MONTPELLIER,-110,160,3.5,297.85,65,101660,0,290.55,5.6,201700006542,1,0,4,1,5,1984,8
MONTPELLIER,-20,320,1.5,292.35,56,101720,-280,292.15,1.7,201700006542,1,0,4,1,5,1984,8
MONTPELLIER,-70,190,2.8,295.75,84,101590,-60,293.15,4.9,201700006542,1,0,4,1,5,1984,8
MONTPELLIER,40,350,2.6,292.85,58,101740,-250,290.55,4.9,201700006542,1,0,4,1,5,1984,8
MONTPELLIER,-60,0,0.0,286.85,91,101890,-250,287.05,1.4,201700006545,1,0,4,1,5,1997,9
